NomeAssociado,NomeLoja,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd
PADRAO,MESQUITA,291771,266576,"-8,64 %",40003,36783,"-8,05 %","30,52 %","29,82 %","-0,70","3384,00","2827,00","-16,46 %","86,22","94,30","9,37 %"
PADRAO,NOVA AMERICA,180521,193324,"7,09 %",22540,23393,"3,78 %","32,95 %","32,52 %","-0,44","3465,00","3527,00","1,79 %","52,10","54,81","5,21 %"
PADRAO,NOVA IGUACU,233156,251579,"7,90 %",30619,34023,"11,12 %","30,69 %","30,23 %","-0,46","2495,00","2586,00","3,65 %","93,45","97,29","4,10 %"
PADRAO,PENHA - CURTUME,129247,144254,"11,61 %",16631,18661,"12,21 %","31,24 %","29,95 %","-1,29","1949,00","1971,00","1,13 %","66,31","73,19","10,37 %"
PADRAO,PIRATININGA,235128,269649,"14,68 %",25703,32029,"24,61 %","32,97 %","31,15 %","-1,82","2182,00","2315,00","6,10 %","107,76","116,48","8,09 %"
PADRAO,PORTO NOVO,124647,129187,"3,64 %",16491,18253,"10,68 %","28,13 %","28,04 %","-0,08","1778,00","1713,00","-3,66 %","70,11","75,42","7,57 %"
PADRAO,PORTO VELHO,170037,157777,"-7,21 %",21288,21010,"-1,30 %","25,74 %","27,51 %","1,77","1968,00","1903,00","-3,30 %","86,40","82,91","-4,04 %"
PADRAO,STA CRUZ DA SERRA,95401,90158,"-5,50 %",13429,12769,"-4,92 %","23,42 %","24,60 %","1,17","1430,00","1280,00","-10,49 %","66,71","70,44","5,58 %"
PADRAO,VALVERDE,258129,340943,"32,08 %",33823,47121,"39,32 %","29,91 %","28,81 %","-1,09","2451,00","3022,00","23,30 %","105,32","112,82","7,13 %"
RAMIGOS,ANCHIETA,295966,341131,"15,26 %",37344,44745,"19,82 %","27,05 %","27,37 %","0,32","2583,98","2684,92","3,91 %","114,54","127,05","10,93 %"
RAMIGOS,BANGU,109730,125075,"13,98 %",15044,17146,"13,97 %","26,60 %","26,84 %","0,24","1634,00","1690,95","3,49 %","67,15","73,97","10,15 %"
RAMIGOS,COSMOS,155830,175399,"12,56 %",21473,24529,"14,23 %","27,22 %","27,91 %","0,69","2031,00","2059,00","1,38 %","76,73","85,19","11,03 %"
RAMIGOS,GA - FRAGOSO,108939,123776,"13,62 %",16765,17961,"7,13 %","27,45 %","27,41 %","-0,05","1696,06","1668,00","-1,65 %","64,23","74,21","15,53 %"
RAMIGOS,GA - PIABETA (INHOMIRIM),262128,395718,"50,96 %",36504,52384,"43,50 %","28,22 %","27,56 %","-0,66","2224,86","2658,92","19,51 %","117,82","148,83","26,32 %"
RAMIGOS,JARDIM REDENTOR,237568,280276,"17,98 %",33112,39558,"19,47 %","26,99 %","26,58 %","-0,41","2387,00","2692,00","12,78 %","99,53","104,11","4,61 %"
RAMIGOS,RIGAAS - BENFICA,63648,84059,"32,07 %",9282,12024,"29,53 %","29,68 %","30,30 %","0,61","1201,00","1503,00","25,15 %","53,00","55,93","5,53 %"
RAMIGOS,SEPETIBAO,88803,74318,"-16,31 %",12840,12110,"-5,69 %","28,45 %","30,99 %","2,54","1269,00","1506,00","18,68 %","69,98","49,35","-29,48 %"
TORRE,BARRA DA TIJUCA,330061,368487,"11,64 %",30868,33128,"7,32 %","30,87 %","31,01 %","0,14","1967,74","2198,89","11,75 %","167,74","167,58","-0,09 %"
TORRE,BELFORD ROXO,426140,354244,"-16,87 %",57281,46427,"-18,95 %","22,70 %","26,41 %","3,71","3595,00","3162,00","-12,04 %","118,54","112,03","-5,49 %"
TORRE,CAMPO GRANDE,264231,259627,"-1,74 %",29741,28781,"-3,23 %","28,10 %","29,51 %","1,41","2472,56","2295,91","-7,14 %","106,87","113,08","5,82 %"
TORRE,COELHO DA ROCHA,142321,149490,"5,04 %",25107,22791,"-9,23 %","20,57 %","23,93 %","3,36","2091,00","2106,00","0,72 %","68,06","70,98","4,29 %"
TORRE,DUQUE DE CAXIAS,394010,359806,"-8,68 %",43562,41381,"-5,01 %","23,20 %","23,57 %","0,38","2809,96","2615,99","-6,90 %","140,22","137,54","-1,91 %"
