Nome_Departamento,Nome_Secao,Nome_Grupo,Nome_SubGrupo,NomeLoja,NomeAssociado,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual Trigger,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd,A.V. Venda Anterior,A.V. Venda Atual
,,,,ARARUAMA 2,ALVORADA,,306,,,29,,,"32,35 %","32,35",,"3,91",,,"78,23",,,"100,00 %"
,,,,ATERRADO - V.REDONDA,FLORESTA,,677,,,39,,,"36,12 %","36,12",,"3,60",,,"188,05",,,"100,00 %"
,,,,BACAXA - SAQUAREMA,ALVORADA,,202,,,8,,,"27,64 %","27,64",,"3,27",,,"61,93",,,"100,00 %"
,,,,BARRA DA TIJUCA,TORRE,,4610,,,188,,,"27,65 %","27,65",,"30,41",,,"151,57",,,"100,00 %"
,,,,BARRA OESTE - ABELARDO BUENO,BARRA OESTE,,1058,,,31,,,"-0,73 %","-0,73",,"10,94",,,"96,66",,,"100,00 %"
,,,,BARRA OESTE - AV. DAS AMERICAS,BARRA OESTE,,6415,,,143,,,"-0,46 %","-0,46",,"29,84",,,"214,99",,,"100,00 %"
,,,,BARRA OESTE - RECREIO I,BARRA OESTE,,1163,,,40,,,"-0,25 %","-0,25",,"6,30",,,"184,57",,,"100,00 %"
,,,,BOTAFOGO,ALVORADA,,256,,,16,,,"33,47 %","33,47",,"5,21",,,"49,10",,,"100,00 %"
,,,,BUZIOS,ALVORADA,,831,,,43,,,"27,48 %","27,48",,"7,67",,,"108,32",,,"100,00 %"
,,,,CABO FRIO 1 - SHOP P LAGOS ,ALVORADA,,96,,,3,,,"32,61 %","32,61",,"1,20",,,"80,51",,,"100,00 %"
,,,,CABO FRIO 2 - S.CRISTOVAO,ALVORADA,,595,,,27,,,"31,37 %","31,37",,"8,48",,,"70,18",,,"100,00 %"
,,,,CAMPO GRANDE,TORRE,,1143,,,58,,,"29,87 %","29,87",,"17,62",,,"64,86",,,"100,00 %"
,,,,CENTRO - B.MANSA,FLORESTA,,903,,,75,,,"28,02 %","28,02",,"17,53",,,"51,54",,,"100,00 %"
,,,,COPACABANA,ALVORADA,,162,,,17,,,"29,82 %","29,82",,"1,88",,,"86,13",,,"100,00 %"
,,,,DUQUE DE CAXIAS,TORRE,,2158,,,106,,,"28,37 %","28,37",,"19,18",,,"112,52",,,"100,00 %"
,,,,FENIX - MERCADO MULTI PENHA,FENIX,,1822,,,476,,,"100,00 %","100,00",,"77,91",,,"23,39",,,"100,00 %"
,,,,FREGUESIA,TORRE,,1198,,,69,,,"28,05 %","28,05",,"24,25",,,"49,38",,,"100,00 %"
,,,,GA - PIABETA (INHOMIRIM),RAMIGOS,,1250,,,110,,,"28,86 %","28,86",,"15,03",,,"83,18",,,"100,00 %"
,,,,IGUABA GRANDE,ALVORADA,,458,,,28,,,"26,03 %","26,03",,"10,05",,,"45,61",,,"100,00 %"
,,,,INOA,ALVORADA,,427,,,18,,,"29,69 %","29,69",,"5,46",,,"78,15",,,"100,00 %"
,,,,MARACANA,TORRE,,816,,,68,,,"28,18 %","28,18",,"12,24",,,"66,64",,,"100,00 %"
,,,,MARIA DA GRACA,TORRE,,1000,,,46,,,"27,39 %","27,39",,"10,36",,,"96,56",,,"100,00 %"
,,,,NOVA IGUACU,TORRE,,3235,,,158,,,"28,60 %","28,60",,"30,25",,,"106,93",,,"100,00 %"
,,,,PARK SHOPPING,TORRE,,1631,,,87,,,"29,81 %","29,81",,"16,64",,,"97,99",,,"100,00 %"
,,,,RETIRO - V.REDONDA,FLORESTA,,169,,,21,,,"40,09 %","40,09",,"6,27",,,"26,87",,,"100,00 %"
,,,,ROLAMAO - PINHEIRAL,FLORESTA,,126,,,7,,,"38,65 %","38,65",,"3,73",,,"33,77",,,"100,00 %"
,,,,S CECILIA - V.REDONDA,FLORESTA,,470,,,34,,,"24,98 %","24,98",,"5,76",,,"81,61",,,"100,00 %"
,,,,SAO CONRADO 2,TORRE,,1251,,,47,,,"27,67 %","27,67",,"9,16",,,"136,62",,,"100,00 %"
,,,,SAVIO GAMA - V.REDOND,FLORESTA,,388,,,20,,,"47,28 %","47,28",,"5,36",,,"72,35",,,"100,00 %"
,,,,TAQUARA,TORRE,,2028,,,95,,,"30,03 %","30,03",,"26,73",,,"75,87",,,"100,00 %"
,,,,TIJUCA,TORRE,,2126,,,95,,,"29,22 %","29,22",,"13,05",,,"162,92",,,"100,00 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,ALVORADA - MANGUEIRIN R.BONITO,ALVORADA,,26,,,2,,,"26,31 %","26,31",,"0,13",,,"206,24",,,"0,18 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,ANCHIETA,RAMIGOS,,32,,,2,,,"26,00 %","26,00",,"0,24",,,"131,29",,,"0,10 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,BANGU,RAMIGOS,,16,,,1,,,"26,00 %","26,00",,"0,17",,,"95,94",,,"0,09 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,BOTAFOGO,ALVORADA,,39,,,3,,,"27,91 %","27,91",,"0,40",,,"95,86",,,"0,15 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,CABO FRIO 2 - S.CRISTOVAO,ALVORADA,,26,,,2,,,"32,67 %","32,67",,"0,20",,,"127,67",,,"0,10 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,CENTRO - B.MANSA,FLORESTA,,7,,,1,,,"38,07 %","38,07",,"0,20",,,"34,90",,,"0,02 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,COPACABANA,ALVORADA,,13,,,1,,,"32,35 %","32,35",,"0,10",,,"128,90",,,"0,03 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,DUQUE DE CAXIAS,GMAP,,10,,,1,,,"-18,45 %","-18,45",,"0,06",,,"159,84",,,"0,04 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,GA - FRAGOSO,RAMIGOS,,29,,,2,,,"18,33 %","18,33",,"0,20",,,"144,90",,,"0,28 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,MARIA DA GRACA,TORRE,,28,,,2,,,"31,74 %","31,74",,"0,10",,,"268,61",,,"0,03 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,MARICA - CORDEIRINHO,ALVORADA,,13,,,1,,,"28,45 %","28,45",,"0,03",,,"373,81",,,"0,05 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,NOVA IGUACU,TORRE,,14,,,1,,,"31,76 %","31,76",,"0,07",,,"195,86",,,"0,06 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,RIO DAS PEDRA,TORRE,,14,,,1,,,"31,74 %","31,74",,"0,07",,,"195,86",,,"0,05 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,SAO CONRADO 2,TORRE,,70,,,5,,,"33,72 %","33,72",,"0,45",,,"153,89",,,"0,26 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,TAQUARA,TORRE,,14,,,1,,,"31,89 %","31,89",,"0,14",,,"97,93",,,"0,05 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,TIJUCA,TORRE,,14,,,1,,,"31,75 %","31,75",,"0,08",,,"181,87",,,"0,03 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,AGUA MINERAL,ALVORADA,,22,,,2,,,"27,61 %","27,61",,"0,30",,,"73,27",,,"0,11 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,ALCANTARA,GMAP,,42,,,6,,,"-23,69 %","-23,69",,"0,66",,,"63,61",,,"0,13 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,ANCHIETA,RAMIGOS,,74,,,8,,,"14,83 %","14,83",,"0,63",,,"116,78",,,"0,22 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,ARARUAMA 2,ALVORADA,,105,,,7,,,"23,94 %","23,94",,"2,75",,,"38,16",,,"0,54 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,BARRA DA TIJUCA,TORRE,,1137,,,94,,,"32,70 %","32,70",,"5,68",,,"200,26",,,"3,32 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,BARRA OESTE - ABELARDO BUENO,BARRA OESTE,,42,,,3,,,"17,16 %","17,16",,"0,18",,,"232,76",,,"0,09 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,BARRA OESTE - AV. DAS AMERICAS,BARRA OESTE,,194,,,13,,,"27,72 %","27,72",,"0,58",,,"332,82",,,"0,54 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,BARRA OESTE - PEDRA GUARATIBA,BARRA OESTE,,35,,,5,,,"20,03 %","20,03",,"1,18",,,"29,54",,,"0,16 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,BARRA OESTE - RECREIO I,BARRA OESTE,,28,,,4,,,"20,03 %","20,03",,"0,40",,,"69,90",,,"0,08 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,BARRA OESTE - TANQUE,BARRA OESTE,,15,,,1,,,"29,95 %","29,95",,"0,13",,,"119,92",,,"0,01 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,BOTAFOGO,ALVORADA,,105,,,11,,,"26,78 %","26,78",,"1,79",,,"58,52",,,"0,41 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,BUZIOS,ALVORADA,,56,,,7,,,"23,09 %","23,09",,"0,24",,,"237,94",,,"0,35 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,CABO FRIO 1 - SHOP P LAGOS ,ALVORADA,,56,,,6,,,"26,83 %","26,83",,"0,41",,,"136,79",,,"0,42 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,CABO FRIO 2 - S.CRISTOVAO,ALVORADA,,50,,,6,,,"23,03 %","23,03",,"0,36",,,"140,29",,,"0,19 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,CAMPO GRANDE,TORRE,,454,,,38,,,"26,14 %","26,14",,"3,33",,,"136,58",,,"1,46 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,CENTRO MARICA,GMAP,,128,,,9,,,"28,41 %","28,41",,"0,47",,,"273,57",,,"0,26 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,COLUBANDE,ALVORADA,,7,,,1,,,"21,50 %","21,50",,"0,25",,,"27,96",,,"0,04 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,COPACABANA,ALVORADA,,60,,,4,,,"22,68 %","22,68",,"1,56",,,"38,55",,,"0,12 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,COSMOS,RAMIGOS,,16,,,1,,,"26,00 %","26,00",,"0,14",,,"111,93",,,"0,09 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,DUQUE DE CAXIAS,GMAP,,10,,,1,,,"-18,45 %","-18,45",,"0,25",,,"39,96",,,"0,04 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,DUQUE DE CAXIAS,TORRE,,352,,,30,,,"29,35 %","29,35",,"3,05",,,"115,23",,,"1,26 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,FONSECA,PADRAO,,13,,,1,,,"19,22 %","19,22",,"0,11",,,"116,91",,,"0,04 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,FREGUESIA,TORRE,,257,,,34,,,"17,88 %","17,88",,"3,57",,,"71,91",,,"1,15 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,IGUABA GRANDE,ALVORADA,,66,,,5,,,"28,39 %","28,39",,"0,20",,,"326,10",,,"0,22 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,INOA,ALVORADA,,115,,,14,,,"-24,34 %","-24,34",,"1,13",,,"101,95",,,"0,34 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,ITABORAI - CENTRO ,ALVORADA,,15,,,1,,,"30,00 %","30,00",,"0,07",,,"209,86",,,"0,12 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,ITABORAI 1,ALVORADA,,15,,,1,,,"23,54 %","23,54",,"0,20",,,"74,95",,,"0,09 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,ITAIPU,PADRAO,,32,,,5,,,"13,92 %","13,92",,"0,13",,,"247,45",,,"0,17 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,LARGO DA BATALHA,PADRAO,,103,,,12,,,"-20,24 %","-20,24",,"0,52",,,"198,62",,,"0,22 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,LOTE XV,PADRAO,,84,,,7,,,"4,12 %","4,12",,"0,63",,,"134,29",,,"0,30 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MACAE,ALVORADA,,30,,,2,,,"22,70 %","22,70",,"0,07",,,"404,73",,,"0,17 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MAGE 1,ALVORADA,,15,,,1,,,"30,00 %","30,00",,"0,09",,,"164,89",,,"0,23 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MAGE 2,ALVORADA,,48,,,6,,,"-48,10 %","-48,10",,"0,64",,,"75,38",,,"0,46 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MARACANA,ALVORADA,,83,,,7,,,"31,08 %","31,08",,"0,43",,,"191,63",,,"0,32 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MARACANA,TORRE,,311,,,32,,,"16,99 %","16,99",,"1,83",,,"169,50",,,"0,79 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MARIA DA GRACA,TORRE,,35,,,5,,,"20,03 %","20,03",,"0,66",,,"53,31",,,"0,03 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MARICÁ,ALVORADA,,45,,,3,,,"30,00 %","30,00",,"0,53",,,"84,32",,,"0,28 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MARICA - CORDEIRINHO,ALVORADA,,28,,,3,,,"27,63 %","27,63",,"0,15",,,"184,78",,,"0,12 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MERCK,TORRE,,54,,,4,,,"16,93 %","16,93",,"0,24",,,"228,68",,,"0,16 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MESQUITA,PADRAO,,172,,,15,,,"18,69 %","18,69",,"1,45",,,"118,84",,,"0,70 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,NDP - NILOPOLIS ,NDP,,7,,,1,,,"35,96 %","35,96",,"0,07",,,"97,72",,,"0,03 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,NOVA FRIBURGO,GMAP,,58,,,4,,,"27,61 %","27,61",,"0,31",,,"186,54",,,"0,17 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,NOVA IGUACU,TORRE,,277,,,24,,,"33,78 %","33,78",,"2,05",,,"135,20",,,"1,16 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,PACHECO,GMAP,,20,,,2,,,"-18,32 %","-18,32",,"0,11",,,"184,43",,,"0,07 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,PARK SHOPPING,TORRE,,339,,,39,,,"15,75 %","15,75",,"3,31",,,"102,65",,,"2,19 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,PAVUNA,GMAP,,23,,,4,,,"17,92 %","17,92",,"0,23",,,"98,77",,,"0,06 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,PETROPOLIS,GMAP,,30,,,3,,,"10,05 %","10,05",,"0,59",,,"50,21",,,"0,07 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,PIRATININGA,PADRAO,,368,,,36,,,"-20,59 %","-20,59",,"3,04",,,"120,82",,,"1,07 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,PORTO NOVO,PADRAO,,13,,,1,,,"8,90 %","8,90",,"0,08",,,"155,88",,,"0,07 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,PORTO VELHO,PADRAO,,44,,,3,,,"20,60 %","20,60",,"1,17",,,"37,52",,,"0,15 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,PRACA DAS NACOES,TORRE,,261,,,26,,,"2,64 %","2,64",,"2,42",,,"107,59",,,"0,92 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,PRACA SECA,TORRE,,14,,,2,,,"20,03 %","20,03",,"0,22",,,"63,61",,,"0,05 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,RIO DAS PEDRA,TORRE,,28,,,4,,,"20,03 %","20,03",,"0,18",,,"158,24",,,"0,11 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,S CECILIA - V.REDONDA,FLORESTA,,17,,,1,,,"31,76 %","31,76",,"0,09",,,"186,78",,,"0,08 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,SANTO CRISTO,GMAP,,88,,,8,,,"13,87 %","13,87",,"0,35",,,"250,17",,,"0,34 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,SAO CONRADO 2,TORRE,,309,,,29,,,"20,18 %","20,18",,"3,29",,,"93,89",,,"1,14 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,SAO JOAO DE MERITI,GMAP,,26,,,5,,,"-31,15 %","-31,15",,"0,44",,,"58,90",,,"0,16 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,SAO PEDRO DA ALDEIA,ALVORADA,,30,,,2,,,"30,00 %","30,00",,"0,18",,,"164,89",,,"0,20 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,SARACURUNA,GMAP,,8,,,2,,,"-40,10 %","-40,10",,"0,04",,,"179,55",,,"0,06 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,SAVIO GAMA - V.REDOND,FLORESTA,,34,,,2,,,"31,74 %","31,74",,"0,33",,,"101,88",,,"0,11 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,SENADOR CAMARA,GMAP,,4,,,1,,,"-40,10 %","-40,10",,"0,07",,,"55,86",,,"0,03 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,TANUS BEDRAN,GMAP,,40,,,4,,,"-18,45 %","-18,45",,"1,18",,,"33,91",,,"0,22 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,TAQUARA,TORRE,,335,,,38,,,"28,61 %","28,61",,"2,03",,,"165,07",,,"1,12 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,TIJUCA,TORRE,,405,,,32,,,"27,14 %","27,14",,"2,41",,,"168,15",,,"0,85 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,TRINDADE,ALVORADA,,15,,,1,,,"30,00 %","30,00",,"0,05",,,"284,81",,,"0,15 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,V.DOS TELES S.J.MERITI,GMAP,,57,,,8,,,"-5,16 %","-5,16",,"0,55",,,"103,85",,,"0,29 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,VALVERDE,PADRAO,,13,,,1,,,"19,22 %","19,22",,"0,04",,,"337,74",,,"0,06 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,AGUA MINERAL,ALVORADA,,179,,,37,,,"15,85 %","15,85",,"2,16",,,"82,98",,,"0,86 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,ALCANTARA,GMAP,,716,,,156,,,"21,61 %","21,61",,"19,92",,,"35,96",,,"2,26 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,ALVORADA - MANGUEIRIN R.BONITO,ALVORADA,,128,,,27,,,"20,35 %","20,35",,"1,49",,,"85,79",,,"0,92 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,ANCHIETA,RAMIGOS,,631,,,124,,,"23,55 %","23,55",,"8,44",,,"74,70",,,"1,89 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,ARARUAMA 1,ALVORADA,,140,,,30,,,"17,64 %","17,64",,"2,04",,,"68,38",,,"0,66 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,ARARUAMA 2,ALVORADA,,187,,,40,,,"18,67 %","18,67",,"2,43",,,"76,76",,,"0,96 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,ARSENAL,ALVORADA,,183,,,34,,,"16,01 %","16,01",,"4,09",,,"44,63",,,"1,14 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,ATERRADO - V.REDONDA,FLORESTA,,221,,,45,,,"14,51 %","14,51",,"4,64",,,"47,77",,,"0,55 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,BACAXA - SAQUAREMA,ALVORADA,,266,,,57,,,"15,80 %","15,80",,"3,66",,,"72,55",,,"1,26 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,BANDEIRANTES S.GONCALO,GMAP,,212,,,47,,,"20,99 %","20,99",,"4,95",,,"42,85",,,"1,45 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,BANGU,RAMIGOS,,293,,,57,,,"23,49 %","23,49",,"7,04",,,"41,65",,,"1,65 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,BARRA DA TIJUCA,TORRE,,284,,,54,,,"22,09 %","22,09",,"1,46",,,"195,47",,,"0,83 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,BARRA OESTE - ABELARDO BUENO,BARRA OESTE,,347,,,69,,,"19,88 %","19,88",,"5,65",,,"61,35",,,"0,76 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,BARRA OESTE - AV. DAS AMERICAS,BARRA OESTE,,231,,,38,,,"21,83 %","21,83",,"2,39",,,"96,53",,,"0,64 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,BARRA OESTE - CAMPO GRANDE,BARRA OESTE,,90,,,19,,,"17,97 %","17,97",,"2,77",,,"32,61",,,"0,72 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,BARRA OESTE - GARDENIA AZUL,BARRA OESTE,,124,,,27,,,"21,36 %","21,36",,"2,98",,,"41,43",,,"0,65 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,BARRA OESTE - GUARATIBA,BARRA OESTE,,196,,,45,,,"18,86 %","18,86",,"4,65",,,"42,25",,,"1,25 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,BARRA OESTE - PEDRA GUARATIBA,BARRA OESTE,,401,,,87,,,"22,33 %","22,33",,"7,92",,,"50,62",,,"1,82 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,BARRA OESTE - RECREIO I,BARRA OESTE,,426,,,82,,,"21,97 %","21,97",,"5,80",,,"73,45",,,"1,27 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,BARRA OESTE - RECREIO II,BARRA OESTE,,142,,,34,,,"17,59 %","17,59",,"4,14",,,"34,32",,,"1,01 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,BARRA OESTE - RIACHUELO,BARRA OESTE,,433,,,96,,,"19,90 %","19,90",,"14,22",,,"30,47",,,"1,69 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,BARRA OESTE - TANQUE,BARRA OESTE,,288,,,60,,,"20,61 %","20,61",,"10,33",,,"27,85",,,"0,19 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,BARRETO,PADRAO,,257,,,53,,,"23,61 %","23,61",,"6,04",,,"42,59",,,"1,49 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,BELFORD ROXO,TORRE,,120,,,26,,,"17,05 %","17,05",,"2,38",,,"50,32",,,"0,79 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,BIG MARKET 1 - DEODORO,NDP,,290,,,58,,,"20,70 %","20,70",,"5,82",,,"49,82",,,"1,60 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,BIG MARKET 2 - STA MARGARIDA,NDP,,95,,,19,,,"21,03 %","21,03",,"2,12",,,"44,97",,,"0,79 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,BOTAFOGO,ALVORADA,,221,,,47,,,"17,39 %","17,39",,"4,75",,,"46,52",,,"0,87 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,BUZIOS,ALVORADA,,233,,,49,,,"17,91 %","17,91",,"2,73",,,"85,47",,,"1,46 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,CABO FRIO 1 - SHOP P LAGOS ,ALVORADA,,138,,,25,,,"19,47 %","19,47",,"2,85",,,"48,53",,,"1,04 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,CABO FRIO 2 - S.CRISTOVAO,ALVORADA,,614,,,136,,,"12,44 %","12,44",,"4,44",,,"138,48",,,"2,38 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,CABO FRIO 3 - JD ESPERANCA,ALVORADA,,101,,,22,,,"19,42 %","19,42",,"2,92",,,"34,74",,,"1,23 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ESCURA,CAMPO GRANDE,TORRE,,399,,,72,,,"23,26 %","23,26",,"4,74",,,"84,17",,,"1,29 %"
