NomeAssociado,NomeLoja,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd
TORRE,MARE,,779818,,,123581,,,"18,57 %","18,57",,"12472,00",,,"62,53",
TORRE,MARIA DA GRACA,,3154472,,,433276,,,"20,63 %","20,63",,"27145,44",,,"116,21",
TORRE,MERCK,,1828374,,,265231,,,"21,20 %","21,20",,"24573,00",,,"74,41",
TORRE,NOVA IGUACU,,2180588,,,271297,,,"26,96 %","26,96",,"21621,57",,,"100,85",
TORRE,PARK SHOPPING,,1420288,,,190249,,,"25,51 %","25,51",,"17840,00",,,"79,61",
TORRE,PILARES,,2177635,,,315806,,,"23,14 %","23,14",,"27267,00",,,"79,86",
TORRE,PRACA DAS NACOES,,1639446,,,237455,,,"23,35 %","23,35",,"23609,00",,,"69,44",
TORRE,PRACA SECA,,1950893,,,288548,,,"23,46 %","23,46",,"27205,28",,,"71,71",
TORRE,RIO DAS PEDRA,,3236612,,,460230,,,"20,77 %","20,77",,"28777,28",,,"112,47",
TORRE,SAO CONRADO 1,,2592170,,,360799,,,"21,90 %","21,90",,"20980,00",,,"123,55",
TORRE,SAO CONRADO 2,,1659797,,,212655,,,"24,95 %","24,95",,"16793,56",,,"98,84",
TORRE,TAQUARA,,2151379,,,280464,,,"23,38 %","23,38",,"18588,91",,,"115,73",
TORRE,TIJUCA,,2410680,,,313510,,,"25,88 %","25,88",,"34331,00",,,"70,22",
TORRE,VILA DO JOAO,,1593293,,,237107,,,"19,31 %","19,31",,"22338,00",,,"71,33",
