NomeAssociado,NomeLoja,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd
GMAP,BANDEIRANTES S.GONCALO,1277805,1258297,"-1,53 %",191864,183219,"-4,51 %","22,21 %","24,87 %","2,66","16112,62","15591,00","-3,24 %","79,30","80,71","1,77 %"
GMAP,BANGU,1539045,1393771,"-9,44 %",207252,189346,"-8,64 %","22,50 %","25,89 %","3,40","21989,06","20792,00","-5,44 %","69,99","67,03","-4,23 %"
GMAP,CD - CARGA SECA/FRIGORIFICO,431629,107265,"-75,15 %",31956,12520,"-60,82 %","3,50 %","-0,79 %","-4,29","17,00","3,00","-82,35 %","25389,93","35754,97","40,82 %"
GMAP,CENTRO MARICA,3688628,3435081,"-6,87 %",457964,412110,"-10,01 %","23,59 %","25,91 %","2,32","26527,85","25250,00","-4,82 %","139,05","136,04","-2,16 %"
GMAP,COELHO NETO,1570557,1424235,"-9,32 %",231499,207906,"-10,19 %","20,82 %","24,23 %","3,42","17385,28","15351,00","-11,70 %","90,34","92,78","2,70 %"
GMAP,DUQUE DE CAXIAS,2093543,1697455,"-18,92 %",304072,249982,"-17,79 %","19,55 %","22,55 %","3,00","27331,54","23373,00","-14,48 %","76,60","72,62","-5,19 %"
GMAP,NOVA FRIBURGO,2445190,2252846,"-7,87 %",316233,282758,"-10,59 %","21,25 %","23,54 %","2,29","20874,84","17280,00","-17,22 %","117,14","130,37","11,30 %"
GMAP,PACHECO,2065553,2007472,"-2,81 %",313445,300044,"-4,28 %","22,54 %","24,80 %","2,26","21696,05","19954,00","-8,03 %","95,20","100,60","5,67 %"
GMAP,PAVUNA,2430986,2190185,"-9,91 %",366173,322846,"-11,83 %","23,54 %","25,35 %","1,81","33920,54","30866,00","-9,00 %","71,67","70,96","-0,99 %"
GMAP,PAVUNA 3,1212984,1079826,"-10,98 %",186084,163109,"-12,35 %","23,01 %","25,79 %","2,78","16526,31","14989,30","-9,30 %","73,40","72,04","-1,85 %"
GMAP,PETROPOLIS,2626395,2119573,"-19,30 %",363272,289055,"-20,43 %","18,97 %","21,87 %","2,90","32273,93","29462,00","-8,71 %","81,38","71,94","-11,59 %"
GMAP,QUITANDINHA PETROPOLIS,1531715,1106609,"-27,75 %",205719,145501,"-29,27 %","18,92 %","21,53 %","2,61","11856,42","9723,00","-17,99 %","129,19","113,81","-11,90 %"
GMAP,REALENGO,1152796,1130377,"-1,94 %",157553,155947,"-1,02 %","21,01 %","24,16 %","3,15","13052,87","12925,00","-0,98 %","88,32","87,46","-0,97 %"
GMAP,SANTO CRISTO,1754143,1811703,"3,28 %",250580,250564,"-0,01 %","23,75 %","26,55 %","2,80","20190,39","21356,00","5,77 %","86,88","84,83","-2,36 %"
GMAP,SAO JOAO DE MERITI,1039715,987456,"-5,03 %",132265,123605,"-6,55 %","23,18 %","25,55 %","2,37","13285,67","12044,00","-9,35 %","78,26","81,99","4,76 %"
GMAP,SARACURUNA,1782267,1593917,"-10,57 %",289379,252620,"-12,70 %","20,91 %","24,10 %","3,19","21057,47","20242,00","-3,87 %","84,64","78,74","-6,97 %"
GMAP,SENADOR CAMARA,1262347,1173427,"-7,04 %",202200,187569,"-7,24 %","19,89 %","22,94 %","3,05","16853,38","16515,00","-2,01 %","74,90","71,05","-5,14 %"
GMAP,TANUS BEDRAN,1302444,1076509,"-17,35 %",154740,128545,"-16,93 %","23,38 %","26,55 %","3,17","24602,95","21961,00","-10,74 %","52,94","49,02","-7,40 %"
GMAP,V.DOS TELES S.J.MERITI,2220415,1993942,"-10,20 %",303830,259524,"-14,58 %","20,42 %","23,24 %","2,82","24959,76","22452,00","-10,05 %","88,96","88,81","-0,17 %"
NDP,BIG MARKET 1 - DEODORO,449979,387814,"-13,82 %",72982,58146,"-20,33 %","20,91 %","23,97 %","3,06","7686,32","6913,56","-10,05 %","58,54","56,09","-4,18 %"
NDP,BIG MARKET 2 - STA MARGARIDA,698227,575769,"-17,54 %",117439,93748,"-20,17 %","15,61 %","19,00 %","3,39","8840,57","8031,58","-9,15 %","78,98","71,69","-9,23 %"
NDP,COVELO - PACIENCIA,1148250,1146808,"-0,13 %",191905,182707,"-4,79 %","17,94 %","21,67 %","3,74","18816,91","18145,16","-3,57 %","61,02","63,20","3,57 %"
NDP,NDP - NILOPOLIS ,1397154,1139320,"-18,45 %",205977,151026,"-26,68 %","17,03 %","22,42 %","5,39","17828,38","16027,96","-10,10 %","78,37","71,08","-9,29 %"
NDP,NDP - PARQUE ANCHIETA,646620,588225,"-9,03 %",107805,88319,"-18,08 %","20,12 %","24,53 %","4,41","11212,09","10112,82","-9,80 %","57,67","58,17","0,86 %"
NDP,NDP MATRIZ,668923,800315,"19,64 %",124829,160585,"28,64 %","-1,63 %","-0,28 %","1,35","176,00","162,00","-7,95 %","3800,70","4940,22","29,98 %"
