Nome_Departamento,Nome_Secao,Nome_Grupo,Nome_SubGrupo,NomeLoja,NomeAssociado,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual Trigger,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd,A.V. Venda Anterior,A.V. Venda Atual
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,JARDIM REDENTOR,RAMIGOS,84,10,"-88,10 %",12,1,"-91,67 %","12,73 %","33,87 %","21,14","1,04","0,03","-96,99 %","80,78","319,36","295,33 %","0,16 %","0,03 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,LARGO DA BATALHA,PADRAO,184,165,"-10,17 %",20,21,"5,00 %","38,52 %","39,90 %","1,38","2,49","3,72","49,65 %","73,87","44,34","-39,97 %","0,28 %","0,27 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,LOTE XV,PADRAO,22,105,"382,47 %",3,11,"266,67 %","40,20 %","41,70 %","1,49","1,17","1,20","2,61 %","18,62","87,54","370,22 %","0,03 %","0,19 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,MACAE,ALVORADA,98,213,"117,12 %",11,23,"109,09 %","35,26 %","35,84 %","0,58","1,10","1,74","58,15 %","89,06","122,28","37,29 %","0,27 %","0,71 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,MACAE 2 - GLÓRIA,ALVORADA,712,604,"-15,22 %",75,61,"-18,67 %","32,60 %","32,25 %","-0,35","7,84","6,55","-16,43 %","90,85","92,17","1,45 %","2,58 %","3,04 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,MAGE 1,ALVORADA,17,10,"-41,64 %",4,1,"-75,00 %","35,09 %","44,93 %","9,84","0,53","0,25","-52,64 %","32,39","39,92","23,24 %","0,09 %","0,06 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,MAGE 2,ALVORADA,58,163,"180,25 %",10,19,"90,00 %","34,10 %","36,88 %","2,78","0,91","0,97","5,99 %","63,51","167,93","164,40 %","0,15 %","0,50 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,MARACANA,ALVORADA,186,40,"-78,68 %",22,4,"-81,82 %","36,63 %","43,00 %","6,36","3,53","0,47","-86,82 %","52,62","85,12","61,76 %","0,72 %","0,18 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,MARACANA,TORRE,620,1043,"68,13 %",104,119,"14,42 %","32,55 %","34,38 %","1,82","11,91","16,68","40,03 %","52,07","62,52","20,07 %","1,79 %","3,19 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,MARE,TORRE,441,151,"-65,80 %",86,24,"-72,09 %","31,90 %","39,69 %","7,80","9,17","2,64","-71,17 %","48,11","57,08","18,63 %","2,33 %","0,96 %"
