Nome_Departamento,Nome_Secao,Nome_Grupo,Nome_SubGrupo,NomeLoja,NomeAssociado,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual Trigger,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd,A.V. Venda Anterior,A.V. Venda Atual
,,,,ARARUAMA 2,ALVORADA,434,,"-100,00 %",34,,"-100,00 %","32,07 %",,"-32,07","4,00",,"-100,00 %","108,37",,"-100,00 %","100,00 %",
,,,,ATERRADO - V.REDONDA,FLORESTA,648,,"-100,00 %",37,,"-100,00 %","37,09 %",,"-37,09","3,43",,"-100,00 %","188,96",,"-100,00 %","100,00 %",
,,,,BACAXA - SAQUAREMA,ALVORADA,234,,"-100,00 %",12,,"-100,00 %","27,54 %",,"-27,54","3,36",,"-100,00 %","69,60",,"-100,00 %","100,00 %",
,,,,BARRA DA TIJUCA,TORRE,4488,,"-100,00 %",199,,"-100,00 %","27,46 %",,"-27,46","30,04",,"-100,00 %","149,39",,"-100,00 %","100,00 %",
,,,,BARRA OESTE - ABELARDO BUENO,BARRA OESTE,1116,,"-100,00 %",31,,"-100,00 %","-0,88 %",,"0,88","11,30",,"-100,00 %","98,76",,"-100,00 %","100,00 %",
,,,,BARRA OESTE - AV. DAS AMERICAS,BARRA OESTE,6269,,"-100,00 %",130,,"-100,00 %","-0,42 %",,"0,42","27,83",,"-100,00 %","225,28",,"-100,00 %","100,00 %",
,,,,BARRA OESTE - CASCADURA,BARRA OESTE,1477,,"-100,00 %",68,,"-100,00 %","0,00 %",,"0,00","15,88",,"-100,00 %","93,04",,"-100,00 %","100,00 %",
,,,,BARRA OESTE - RECREIO I,BARRA OESTE,1123,,"-100,00 %",37,,"-100,00 %","-0,26 %",,"0,26","6,86",,"-100,00 %","163,69",,"-100,00 %","100,00 %",
,,,,BARRA OESTE - VIA PARQUE,BARRA OESTE,3021,,"-100,00 %",70,,"-100,00 %","-0,49 %",,"0,49","27,39",,"-100,00 %","110,30",,"-100,00 %","100,00 %",
,,,,BOTAFOGO,ALVORADA,284,,"-100,00 %",17,,"-100,00 %","33,14 %",,"-33,14","5,71",,"-100,00 %","49,80",,"-100,00 %","100,00 %",
,,,,BUZIOS,ALVORADA,797,,"-100,00 %",47,,"-100,00 %","28,22 %",,"-28,22","8,10",,"-100,00 %","98,49",,"-100,00 %","100,00 %",
,,,,CABO FRIO 1 - SHOP P LAGOS ,ALVORADA,119,,"-100,00 %",6,,"-100,00 %","31,01 %",,"-31,01","1,58",,"-100,00 %","75,37",,"-100,00 %","100,00 %",
,,,,CABO FRIO 2 - S.CRISTOVAO,ALVORADA,530,,"-100,00 %",26,,"-100,00 %","36,66 %",,"-36,66","8,47",,"-100,00 %","62,65",,"-100,00 %","100,00 %",
,,,,CAMPO GRANDE,TORRE,1097,,"-100,00 %",57,,"-100,00 %","29,26 %",,"-29,26","15,95",,"-100,00 %","68,76",,"-100,00 %","100,00 %",
,,,,CENTRO - B.MANSA,FLORESTA,665,,"-100,00 %",49,,"-100,00 %","34,62 %",,"-34,62","10,84",,"-100,00 %","61,39",,"-100,00 %","100,00 %",
,,,,COPACABANA,ALVORADA,162,,"-100,00 %",17,,"-100,00 %","29,82 %",,"-29,82","1,88",,"-100,00 %","86,13",,"-100,00 %","100,00 %",
,,,,DUQUE DE CAXIAS,TORRE,1874,,"-100,00 %",97,,"-100,00 %","28,36 %",,"-28,36","17,30",,"-100,00 %","108,37",,"-100,00 %","100,00 %",
,,,,FENIX - MERCADO MULTI PENHA,FENIX,1855,,"-100,00 %",498,,"-100,00 %","100,00 %",,"-100,00","79,89",,"-100,00 %","23,22",,"-100,00 %","100,00 %",
,,,,FREGUESIA,TORRE,1220,,"-100,00 %",64,,"-100,00 %","27,64 %",,"-27,64","22,79",,"-100,00 %","53,53",,"-100,00 %","100,00 %",
,,,,GA - PIABETA (INHOMIRIM),RAMIGOS,1179,,"-100,00 %",103,,"-100,00 %","28,71 %",,"-28,71","13,40",,"-100,00 %","88,00",,"-100,00 %","100,00 %",
,,,,IGUABA GRANDE,ALVORADA,488,,"-100,00 %",29,,"-100,00 %","26,63 %",,"-26,63","11,05",,"-100,00 %","44,18",,"-100,00 %","100,00 %",
,,,,INOA,ALVORADA,444,,"-100,00 %",19,,"-100,00 %","29,48 %",,"-29,48","5,41",,"-100,00 %","82,07",,"-100,00 %","100,00 %",
,,,,MACAE 2 - GLÓRIA,ALVORADA,535,,"-100,00 %",33,,"-100,00 %","33,81 %",,"-33,81","4,48",,"-100,00 %","119,35",,"-100,00 %","100,00 %",
,,,,MARACANA,TORRE,841,,"-100,00 %",66,,"-100,00 %","27,89 %",,"-27,89","12,43",,"-100,00 %","67,63",,"-100,00 %","100,00 %",
,,,,MARIA DA GRACA,TORRE,876,,"-100,00 %",42,,"-100,00 %","27,15 %",,"-27,15","10,06",,"-100,00 %","87,03",,"-100,00 %","100,00 %",
,,,,NOVA IGUACU,TORRE,3405,,"-100,00 %",161,,"-100,00 %","28,16 %",,"-28,16","31,62",,"-100,00 %","107,69",,"-100,00 %","100,00 %",
,,,,PARK SHOPPING,TORRE,1679,,"-100,00 %",88,,"-100,00 %","29,00 %",,"-29,00","15,39",,"-100,00 %","109,11",,"-100,00 %","100,00 %",
,,,,RETIRO - V.REDONDA,FLORESTA,210,,"-100,00 %",19,,"-100,00 %","48,29 %",,"-48,29","5,04",,"-100,00 %","41,72",,"-100,00 %","100,00 %",
,,,,ROLAMAO - PINHEIRAL,FLORESTA,126,,"-100,00 %",7,,"-100,00 %","38,65 %",,"-38,65","3,73",,"-100,00 %","33,77",,"-100,00 %","100,00 %",
,,,,S CECILIA - V.REDONDA,FLORESTA,409,,"-100,00 %",22,,"-100,00 %","27,35 %",,"-27,35","4,47",,"-100,00 %","91,35",,"-100,00 %","100,00 %",
,,,,SAO CONRADO 2,TORRE,1511,,"-100,00 %",53,,"-100,00 %","28,06 %",,"-28,06","11,02",,"-100,00 %","137,08",,"-100,00 %","100,00 %",
,,,,SAVIO GAMA - V.REDOND,FLORESTA,366,,"-100,00 %",19,,"-100,00 %","50,14 %",,"-50,14","5,50",,"-100,00 %","66,49",,"-100,00 %","100,00 %",
,,,,TAMOIOS UNAMAR,ALVORADA,603,,"-100,00 %",31,,"-100,00 %","32,32 %",,"-32,32","9,28",,"-100,00 %","64,99",,"-100,00 %","100,00 %",
,,,,TAQUARA,TORRE,1857,,"-100,00 %",88,,"-100,00 %","30,23 %",,"-30,23","24,16",,"-100,00 %","76,86",,"-100,00 %","100,00 %",
,,,,TIJUCA,TORRE,2094,,"-100,00 %",93,,"-100,00 %","28,95 %",,"-28,95","15,44",,"-100,00 %","135,64",,"-100,00 %","100,00 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,ALVORADA - MANGUEIRIN R.BONITO,ALVORADA,26,13,"-50,00 %",2,1,"-50,00 %","26,31 %","25,91 %","-0,40","0,13","0,17","33,33 %","206,24","77,34","-62,50 %","0,17 %","0,09 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,ANCHIETA,RAMIGOS,16,29,"80,61 %",1,2,"100,00 %","26,00 %","25,96 %","-0,04","0,17","0,10","-41,07 %","95,94","294,07","206,51 %","0,05 %","0,10 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,ATERRADO - V.REDONDA,FLORESTA,14,,"-100,00 %",2,,"-100,00 %","38,52 %",,"-38,52","0,04",,"-100,00 %","321,08",,"-100,00 %","0,03 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,BANGU,RAMIGOS,32,,"-100,00 %",2,,"-100,00 %","26,00 %",,"-26,00","0,23",,"-100,00 %","139,55",,"-100,00 %","0,18 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,BOTAFOGO,ALVORADA,39,74,"90,25 %",3,5,"66,67 %","27,91 %","35,10 %","7,18","0,40","0,40","-0,85 %","95,86","183,92","91,87 %","0,15 %","0,27 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,BUZIOS,ALVORADA,,13,,,1,,,"25,91 %","25,91",,"0,05",,,"283,58",,,"0,08 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,CABO FRIO 2 - S.CRISTOVAO,ALVORADA,26,,"-100,00 %",2,,"-100,00 %","32,67 %",,"-32,67","0,20",,"-100,00 %","127,67",,"-100,00 %","0,09 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,CENTRO - B.MANSA,FLORESTA,7,,"-100,00 %",1,,"-100,00 %","38,07 %",,"-38,07","0,20",,"-100,00 %","34,90",,"-100,00 %","0,02 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,CENTRO MARICA,GMAP,,112,,,7,,,"18,59 %","18,59",,"1,55",,,"72,42",,,"0,22 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,COPACABANA,ALVORADA,13,26,"100,00 %",1,2,"100,00 %","32,35 %","25,91 %","-6,44","0,10","0,50","400,00 %","128,90","51,56","-60,00 %","0,02 %","0,06 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,DUQUE DE CAXIAS,GMAP,10,,"-100,00 %",1,,"-100,00 %","-18,45 %",,"18,45","0,01",,"-100,00 %","669,33",,"-100,00 %","0,04 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,GA - FRAGOSO,RAMIGOS,29,,"-100,00 %",2,,"-100,00 %","18,33 %",,"-18,33","0,20",,"-100,00 %","144,90",,"-100,00 %","0,27 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,MACAE 2 - GLÓRIA,ALVORADA,90,52,"-42,86 %",7,4,"-42,86 %","25,91 %","25,91 %","0,00","2,31","0,39","-83,00 %","39,04","131,24","236,16 %","0,31 %","0,27 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,MAGE 2,ALVORADA,,13,,,1,,,"25,91 %","25,91",,"0,14",,,"90,23",,,"0,11 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,MARACANA,TORRE,,70,,,5,,,"31,74 %","31,74",,"0,23",,,"303,12",,,"0,18 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,MARIA DA GRACA,TORRE,28,,"-100,00 %",2,,"-100,00 %","31,74 %",,"-31,74","0,10",,"-100,00 %","268,61",,"-100,00 %","0,03 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,MARICA - CORDEIRINHO,ALVORADA,13,26,"100,00 %",1,2,"100,00 %","28,45 %","25,94 %","-2,51","0,03","0,18","417,86 %","373,81","144,37","-61,38 %","0,05 %","0,11 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,MERCK,TORRE,14,42,"200,00 %",1,3,"200,00 %","31,74 %","31,74 %","0,00","0,05","0,18","270,59 %","293,79","237,83","-19,05 %","0,04 %","0,22 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,NOVA IGUACU,TORRE,14,,"-100,00 %",1,,"-100,00 %","31,76 %",,"-31,76","0,07",,"-100,00 %","195,86",,"-100,00 %","0,06 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,PARK SHOPPING,TORRE,,98,,,7,,,"31,74 %","31,74",,"0,85",,,"114,67",,,"0,77 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,PILARES,TORRE,,70,,,5,,,"31,74 %","31,74",,"0,20",,,"349,75",,,"0,21 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,RIO DAS PEDRA,TORRE,14,14,"0,00 %",1,1,"0,00 %","31,74 %","31,74 %","-0,01","0,07","0,04","-41,67 %","195,86","335,76","71,43 %","0,05 %","0,06 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,S CECILIA - V.REDONDA,FLORESTA,,14,,,2,,,"38,00 %","38,00",,"0,15",,,"91,37",,,"0,10 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,SAO CONRADO 2,TORRE,70,,"-100,00 %",5,,"-100,00 %","33,72 %",,"-33,72","0,45",,"-100,00 %","153,89",,"-100,00 %","0,26 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,TAMOIOS UNAMAR,ALVORADA,13,,"-100,00 %",1,,"-100,00 %","25,91 %",,"-25,91","0,06",,"-100,00 %","206,24",,"-100,00 %","0,04 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,TAQUARA,TORRE,14,28,"100,00 %",1,2,"100,00 %","31,89 %","31,74 %","-0,15","0,14","0,07","-51,49 %","97,93","403,78","312,32 %","0,05 %","0,11 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,TIJUCA,TORRE,,84,,,6,,,"31,74 %","31,74",,"0,64",,,"131,74",,,"0,26 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,AGUA MINERAL,ALVORADA,22,,"-100,00 %",2,,"-100,00 %","27,61 %",,"-27,61","0,30",,"-100,00 %","73,27",,"-100,00 %","0,11 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,ALCANTARA,GMAP,72,,"-100,00 %",12,,"-100,00 %","-27,41 %",,"27,41","1,17",,"-100,00 %","61,49",,"-100,00 %","0,22 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,ALVORADA - MANGUEIRIN R.BONITO,ALVORADA,,105,,,7,,,"25,35 %","25,35",,"0,99",,,"105,61",,,"0,71 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,ANCHIETA,RAMIGOS,80,72,"-9,96 %",9,5,"-44,44 %","14,22 %","21,34 %","7,12","0,68","0,31","-54,70 %","117,79","234,14","98,78 %","0,23 %","0,25 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,ARARUAMA 2,ALVORADA,90,,"-100,00 %",6,,"-100,00 %","24,42 %",,"-24,42","2,71",,"-100,00 %","33,17",,"-100,00 %","0,45 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,BARRA DA TIJUCA,TORRE,798,328,"-58,84 %",59,25,"-57,63 %","39,80 %","22,77 %","-17,03","5,11","2,83","-44,61 %","156,14","116,03","-25,69 %","2,51 %","0,93 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,BARRA OESTE - ABELARDO BUENO,BARRA OESTE,42,,"-100,00 %",3,,"-100,00 %","17,16 %",,"-17,16","0,18",,"-100,00 %","232,76",,"-100,00 %","0,10 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,BARRA OESTE - AV. DAS AMERICAS,BARRA OESTE,224,242,"8,17 %",14,5,"-64,29 %","28,21 %","27,88 %","-0,33","0,64","0,17","-73,77 %","347,08","1431,25","312,37 %","0,61 %","0,55 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,BARRA OESTE - GARDENIA AZUL,BARRA OESTE,7,,"-100,00 %",1,,"-100,00 %","22,99 %",,"-22,99","0,14",,"-100,00 %","48,93",,"-100,00 %","0,04 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,BARRA OESTE - PEDRA GUARATIBA,BARRA OESTE,49,,"-100,00 %",7,,"-100,00 %","20,03 %",,"-20,03","1,27",,"-100,00 %","38,52",,"-100,00 %","0,22 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,BARRA OESTE - RECREIO I,BARRA OESTE,28,,"-100,00 %",4,,"-100,00 %","20,03 %",,"-20,03","0,40",,"-100,00 %","69,90",,"-100,00 %","0,08 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,BARRA OESTE - TANQUE,BARRA OESTE,15,,"-100,00 %",1,,"-100,00 %","29,95 %",,"-29,95","0,13",,"-100,00 %","119,92",,"-100,00 %","0,01 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,BARRA OESTE - VIA PARQUE,BARRA OESTE,124,64,"-48,39 %",8,4,"-50,00 %","30,01 %","32,26 %","2,24","1,34","0,48","-63,79 %","92,53","131,88","42,53 %","0,71 %","0,55 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,BOTAFOGO,ALVORADA,111,99,"-11,15 %",12,11,"-8,33 %","26,96 %","27,37 %","0,41","1,90","1,24","-34,59 %","58,46","79,41","35,82 %","0,43 %","0,36 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,BUZIOS,ALVORADA,21,15,"-29,89 %",2,1,"-50,00 %","24,95 %","25,35 %","0,40","0,15","0,25","71,43 %","146,61","59,96","-59,10 %","0,12 %","0,09 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,CABO FRIO 1 - SHOP P LAGOS ,ALVORADA,50,45,"-9,61 %",5,3,"-40,00 %","26,42 %","25,35 %","-1,07","0,36","0,44","22,22 %","138,04","102,09","-26,04 %","0,36 %","0,43 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,CABO FRIO 2 - S.CRISTOVAO,ALVORADA,58,43,"-26,20 %",6,4,"-33,33 %","23,30 %","26,74 %","3,44","0,35","0,27","-24,14 %","164,46","159,99","-2,72 %","0,21 %","0,15 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,CABO FRIO 3 - JD ESPERANCA,ALVORADA,,15,,,1,,,"25,35 %","25,35",,"0,02",,,"869,42",,,"0,14 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,CAMPO GRANDE,TORRE,401,173,"-56,88 %",35,13,"-62,86 %","23,95 %","30,64 %","6,69","2,89","1,10","-61,85 %","139,08","157,18","13,01 %","1,24 %","0,64 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,CASIMIRO DE ABREU,ALVORADA,,15,,,1,,,"25,35 %","25,35",,"0,03",,,"449,70",,,"0,17 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,CENTRO MARICA,GMAP,148,154,"4,06 %",11,10,"-9,09 %","22,08 %","25,66 %","3,58","0,54","0,81","48,83 %","271,36","189,74","-30,08 %","0,28 %","0,30 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,COLUBANDE,ALVORADA,7,,"-100,00 %",1,,"-100,00 %","21,50 %",,"-21,50","0,25",,"-100,00 %","27,96",,"-100,00 %","0,04 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,COPACABANA,ALVORADA,60,156,"160,66 %",4,11,"175,00 %","22,68 %","25,41 %","2,73","0,72","1,01","40,20 %","83,02","154,35","85,91 %","0,10 %","0,34 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,COSMOS,RAMIGOS,16,,"-100,00 %",1,,"-100,00 %","26,00 %",,"-26,00","0,14",,"-100,00 %","111,93",,"-100,00 %","0,09 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,DUQUE DE CAXIAS,GMAP,10,,"-100,00 %",1,,"-100,00 %","-18,45 %",,"18,45","0,25",,"-100,00 %","39,96",,"-100,00 %","0,04 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,DUQUE DE CAXIAS,TORRE,272,198,"-27,29 %",26,15,"-42,31 %","24,84 %","28,16 %","3,32","2,91","1,45","-50,23 %","93,41","136,46","46,09 %","0,98 %","1,18 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,FONSECA,PADRAO,26,,"-100,00 %",2,,"-100,00 %","19,22 %",,"-19,22","0,13",,"-100,00 %","200,42",,"-100,00 %","0,09 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,FREGUESIA,TORRE,271,75,"-72,34 %",36,6,"-83,33 %","17,80 %","5,07 %","-12,73","3,65","1,14","-68,87 %","74,16","65,89","-11,15 %","1,22 %","0,42 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,GA - PIABETA (INHOMIRIM),RAMIGOS,,15,,,1,,,"25,35 %","25,35",,"0,03",,,"449,70",,,"0,05 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,IGUABA GRANDE,ALVORADA,66,,"-100,00 %",5,,"-100,00 %","28,39 %",,"-28,39","0,20",,"-100,00 %","326,10",,"-100,00 %","0,22 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,INOA,ALVORADA,115,,"-100,00 %",14,,"-100,00 %","-24,34 %",,"24,34","1,13",,"-100,00 %","101,95",,"-100,00 %","0,34 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,ITABORAI - CENTRO ,ALVORADA,15,,"-100,00 %",1,,"-100,00 %","30,00 %",,"-30,00","0,07",,"-100,00 %","209,86",,"-100,00 %","0,11 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,ITABORAI 1,ALVORADA,15,30,"100,00 %",1,2,"100,00 %","23,54 %","22,68 %","-0,86","0,20","0,07","-64,29 %","74,95","419,72","460,00 %","0,09 %","0,18 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,ITAIPU,PADRAO,152,,"-100,00 %",25,,"-100,00 %","-73,79 %",,"73,79","1,23",,"-100,00 %","123,47",,"-100,00 %","0,79 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,JARDIM REDENTOR,RAMIGOS,,47,,,12,,,"-51,28 %","-51,28",,"0,22",,,"217,51",,,"0,25 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,LARGO DA BATALHA,PADRAO,151,18,"-88,13 %",18,3,"-83,33 %","-28,54 %","25,32 %","53,86","1,03","0,13","-87,13 %","146,90","135,49","-7,77 %","0,33 %","0,05 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,LOTE XV,PADRAO,104,52,"-49,92 %",8,6,"-25,00 %","10,21 %","20,43 %","10,22","0,48","0,57","19,53 %","216,46","90,69","-58,10 %","0,39 %","0,23 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MACAE,ALVORADA,30,18,"-41,33 %",2,1,"-50,00 %","22,70 %","28,65 %","5,95","0,07","0,03","-60,29 %","404,73","598,06","47,77 %","0,15 %","0,08 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MACAE 2 - GLÓRIA,ALVORADA,351,35,"-89,98 %",24,2,"-91,67 %","24,48 %","32,73 %","8,25","2,25","0,37","-83,45 %","156,34","94,62","-39,48 %","1,19 %","0,18 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MAGE 1,ALVORADA,15,,"-100,00 %",1,,"-100,00 %","30,00 %",,"-30,00","0,09",,"-100,00 %","164,89",,"-100,00 %","0,24 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MAGE 2,ALVORADA,80,15,"-81,24 %",10,1,"-90,00 %","-48,10 %","25,35 %","73,45","0,87","0,05","-93,95 %","91,91","284,81","209,87 %","0,74 %","0,13 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MARACANA,ALVORADA,70,75,"7,84 %",5,5,"0,00 %","31,95 %","25,35 %","-6,60","0,21","0,75","252,94 %","327,06","99,93","-69,44 %","0,21 %","0,32 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MARACANA,TORRE,319,475,"49,00 %",32,38,"18,75 %","19,96 %","15,25 %","-4,71","2,73","2,09","-23,44 %","116,93","227,57","94,61 %","0,80 %","1,25 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MARIA DA GRACA,TORRE,21,26,"24,80 %",3,4,"33,33 %","20,03 %","-25,17 %","-45,20","0,41","0,26","-34,99 %","51,70","99,25","91,95 %","0,02 %","0,06 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MARICÁ,ALVORADA,45,,"-100,00 %",3,,"-100,00 %","30,00 %",,"-30,00","0,53",,"-100,00 %","84,32",,"-100,00 %","0,27 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MARICA - CORDEIRINHO,ALVORADA,28,45,"58,51 %",3,3,"0,00 %","27,63 %","25,35 %","-2,28","0,15","0,18","19,41 %","184,78","245,29","32,74 %","0,12 %","0,19 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MERCK,TORRE,40,,"-100,00 %",2,,"-100,00 %","15,85 %",,"-15,85","0,14",,"-100,00 %","294,05",,"-100,00 %","0,11 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,MESQUITA,PADRAO,172,,"-100,00 %",15,,"-100,00 %","18,69 %",,"-18,69","1,45",,"-100,00 %","118,84",,"-100,00 %","0,70 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,NDP - NILOPOLIS ,NDP,7,,"-100,00 %",1,,"-100,00 %","35,96 %",,"-35,96","0,07",,"-100,00 %","97,72",,"-100,00 %","0,03 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,NDP - PARQUE ANCHIETA,NDP,,28,,,2,,,"24,91 %","24,91",,"0,08",,,"335,28",,,"0,37 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,NOVA AMERICA,PADRAO,187,30,"-83,95 %",22,2,"-90,91 %","5,64 %","13,21 %","7,57","3,86","0,41","-89,38 %","48,37","73,08","51,08 %","0,46 %","0,07 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,NOVA FRIBURGO,GMAP,57,45,"-21,05 %",4,3,"-25,00 %","26,33 %","30,02 %","3,69","0,34","0,36","6,08 %","166,16","123,67","-25,57 %","0,15 %","0,15 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,NOVA IGUACU,TORRE,291,245,"-15,66 %",26,21,"-19,23 %","32,93 %","9,52 %","-23,41","2,14","2,96","38,46 %","135,97","82,82","-39,09 %","1,16 %","0,96 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,PACHECO,GMAP,10,,"-100,00 %",1,,"-100,00 %","-18,32 %",,"18,32","0,07",,"-100,00 %","149,85",,"-100,00 %","0,03 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,PARK SHOPPING,TORRE,323,221,"-31,57 %",40,17,"-57,50 %","13,68 %","16,22 %","2,53","3,81","1,22","-68,00 %","84,96","181,69","113,86 %","2,10 %","1,74 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,CERV ALE,PAVUNA,GMAP,23,,"-100,00 %",4,,"-100,00 %","17,92 %",,"-17,92","0,23",,"-100,00 %","98,77",,"-100,00 %","0,06 %",
